date,open,high,low,close,volume,amount,pe,pb,sentiment,ma5,ma20,macd_dif,macd_dea,macd_hist,rsi14
2020-01-02,15.43,15.68,15.37,15.58,15934570.0,765516493.0,46.36,2.5,0.5,,,0.0,0.0,0.0,50.0
2020-01-03,15.59,15.85,15.42,15.54,12993607.0,628361961.0,46.36,2.5,0.5,,,-0.003190883190882232,-0.0006381766381764464,-0.0051054131054115715,0.0
2020-01-06,15.33,15.91,15.27,15.62,16987138.0,822172473.0,46.36,2.5,0.5,,,0.0007272668241320446,-0.0003650879457147482,0.002184709539693586,13.333333333333073
2020-01-07,15.63,15.69,15.45,15.54,9340058.0,449013436.0,46.36,2.5,0.5,,,-0.00259301184586036,-0.0008106727257438707,-0.003564678240232979,11.659192825111916
2020-01-08,15.38,15.64,15.25,15.29,11097445.0,529249404.0,46.36,2.5,0.5,15.514,,-0.025107839728665482,-0.005670106126328194,-0.03887546720467458,8.195926285159942
2020-01-09,15.45,15.59,15.33,15.41,8921700.0,425352463.0,46.36,2.5,0.5,15.48,,-0.032888883343641595,-0.011113861569790875,-0.043550043547701436,20.415885130327794
2020-01-10,15.42,15.42,15.08,15.18,10929463.0,512929719.0,46.36,2.5,0.5,15.407999999999998,,-0.05695791884433632,-0.020282673024699965,-0.07335049163927271,16.015588409779184
2020-01-13,16.69,16.69,16.34,16.69,51882759.0,2662873915.0,46.36,2.5,0.5,15.622,,0.045289508257333466,-0.007168236768293281,0.1049154900512535,66.72393767600897
2020-01-14,17.79,18.11,17.14,17.29,61497596.0,3356918725.0,46.36,2.5,0.5,15.972,,0.1727450194252267,0.028814414470410714,0.28786120990963193,73.55618883304878
2020-01-15,17.47,17.71,16.91,17.24,29870523.0,1594534514.0,51.44,2.77,0.5,16.362000000000002,,0.2666461176972188,0.07638075511577233,0.38053072516289294,72.2253514400234
2020-01-16,17.3,17.64,16.75,17.5,33573707.0,1778235678.0,51.44,2.77,0.5,16.78,,0.35791739277986423,0.13268808264859072,0.450458620262547,74.78057542843526
2020-01-17,17.42,19.25,17.21,18.75,53060038.0,3022542423.0,51.44,2.77,0.5,17.494,,0.5250624955622243,0.21116296523131745,0.6277990606618137,82.917409783411
2020-01-20,18.54,19.38,18.28,19.01,30077562.0,1742179867.0,51.44,2.77,0.5,17.958,,0.6707737584764715,0.30308512388034825,0.7353772691922464,84.0687858452772
2020-01-21,18.67,18.67,18.29,18.35,20383657.0,1161444871.0,51.44,2.77,0.5,18.17,,0.7246412863041378,0.38739635636510616,0.6744898598780633,70.98876681980494
2020-01-22,18.28,19.57,18.15,19.17,32797995.0,1927419434.0,51.44,2.77,0.5,18.556000000000004,,0.8240002749291868,0.4747171400779223,0.698566269702529,75.98755356690978
2020-01-23,18.76,20.02,18.6,19.35,29158496.0,1735366428.0,57.73,3.11,0.5,18.926,,0.9068142942231248,0.5611365709069629,0.6913554466323237,76.9273613150801
2020-01-24,18.76,20.02,18.6,19.35,0.0,0.0,57.73,3.11,0.5,19.046,,0.9613630068411894,0.6411818580938082,0.6403622974947623,76.9273613150801
2020-01-27,18.76,20.02,18.6,19.35,0.0,0.0,57.73,3.11,0.5,19.114,,0.993144898415558,0.7115744661581582,0.5631408645147995,76.9273613150801
2020-01-28,18.76,20.02,18.6,19.35,0.0,0.0,57.73,3.11,0.5,19.314,,1.0067273502368934,0.7706050429739053,0.4722446145259762,76.9273613150801
2020-01-29,18.76,20.02,18.6,19.35,0.0,0.0,57.73,3.11,0.5,19.35,17.445500000000003,1.0058961959631603,0.8176632735717563,0.376465844782808,76.9273613150801
2020-01-30,18.76,20.02,18.6,19.35,0.0,0.0,57.73,3.11,0.5,19.35,17.634,0.9937818022049569,0.8528869792983965,0.2817896458131208,76.9273613150801
2020-01-31,18.76,20.02,18.6,19.35,0.0,0.0,57.73,3.11,0.5,19.35,17.8245,0.9729653193208385,0.876902647302885,0.19212534403590698,76.9273613150801
2020-02-03,17.42,17.62,17.42,17.42,10039800.0,540735186.0,57.73,3.11,0.5,18.964000000000002,17.9145,0.7916080712569737,0.8598437320937029,-0.13647132167345832,45.11907005182836
2020-02-04,17.47,18.6,17.47,18.23,36777530.0,2057907669.0,57.73,3.11,0.5,18.740000000000002,18.049,0.705113269255289,0.8288976395260202,-0.24756874054146238,53.76049014898129
2020-02-05,18.66,20.06,18.44,19.67,44623025.0,2698234965.0,57.73,3.11,0.5,18.804000000000002,18.268,0.7441830025103222,0.8119547121228807,-0.13554341922511703,64.470974463614
2020-02-06,18.91,19.68,18.89,19.65,30113181.0,1792085753.0,57.73,3.11,0.5,18.863999999999997,18.48,0.764717032809731,0.8025071762602509,-0.0755802869010398,64.2483820952431
2020-02-07,19.65,19.65,18.33,18.73,32128159.0,1868897083.0,57.73,3.11,0.5,18.740000000000002,18.657500000000002,0.6986999108755363,0.781745723183308,-0.1660916246155435,54.86454734282959
2020-02-10,19.15,20.5,19.04,19.71,35279646.0,2143782477.0,57.73,3.11,0.5,19.198,18.808500000000002,0.717191340575237,0.7688348466616939,-0.1032870121729137,61.341696250236176
2020-02-11,19.41,19.45,18.85,19.1,19617574.0,1162310506.0,57.73,3.11,0.5,19.372,18.899,0.674844838595515,0.7500368450484582,-0.15038401290588643,55.95872192204241
2020-02-12,19.1,19.6,18.88,19.15,19745556.0,1171671705.0,57.73,3.11,0.5,19.268,18.994500000000002,0.6379654442969205,0.7276225648981508,-0.17931424120246064,56.29725421604962
2020-02-13,18.92,19.45,18.6,18.62,23694703.0,1387055830.0,57.73,3.11,0.5,19.062,19.0505,0.5595218682020437,0.6940024255589294,-0.2689611147137714,51.755849751999875
2020-02-14,18.62,18.73,18.26,18.41,21117383.0,1205977325.0,57.73,3.11,0.5,18.998,19.0335,0.4749347716239889,0.6501888947719413,-0.3505082462959048,50.033612655615734
2020-02-17,18.41,18.94,18.41,18.92,20988900.0,1215249655.0,57.73,3.11,0.5,18.84,19.029000000000003,0.4439342284745251,0.608937961512458,-0.33000746607586584,54.03403159793811
