date,open,high,low,close,volume,pe,pb,sentiment,ma5,ma20,macd_dif,macd_dea,macd_hist,rsi14,golden_cross,death_cross,entry_signal,exit_signal,position,turnover,fee,strategy_ret,benchmark_ret,strategy_nav,benchmark_nav,period
2020-01-29,18.76,20.02,18.6,19.35,0.0,57.73,3.11,0.5,19.35,17.445500000000003,1.0058961959631605,0.8176632735717563,0.376465844782808,76.9273613150801,1,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.2419768934531448,训练集
2020-01-30,18.76,20.02,18.6,19.35,0.0,57.73,3.11,0.5,19.35,17.634,0.9937818022049568,0.8528869792983965,0.2817896458131208,76.9273613150801,0,0,0,1,1.0,1.0,0.009675000000000001,-0.0005,0.0,0.9995,1.2419768934531448,训练集
2020-01-31,18.76,20.02,18.6,19.35,0.0,57.73,3.11,0.5,19.35,17.8245,0.9729653193208384,0.876902647302885,0.1921253440359069,76.9273613150801,0,0,0,1,0.0,1.0,0.009675000000000001,-0.0005,0.0,0.9990002500000001,1.2419768934531448,训练集
2020-02-03,17.42,17.62,17.42,17.42,10039800.0,57.73,3.11,0.5,18.964,17.9145,0.7916080712569737,0.8598437320937029,-0.1364713216734583,45.11907005182836,0,0,0,0,0.0,0.0,0.0,-0.0,-0.09974160206718341,0.9990002500000001,1.1181001283697045,训练集
2020-02-04,17.47,18.6,17.47,18.23,36777530.0,57.73,3.11,0.5,18.74,18.049,0.705113269255289,0.8288976395260202,-0.2475687405414623,53.76049014898129,0,0,0,0,0.0,0.0,0.0,0.0,0.04649827784156124,0.9990002500000001,1.1700898587933244,训练集
2020-02-05,18.66,20.06,18.44,19.67,44623025.0,57.73,3.11,0.5,18.804,18.268,0.7441830025103222,0.8119547121228807,-0.135543419225117,64.470974463614,0,0,0,0,0.0,0.0,0.0,0.0,0.07899067471201326,0.9990002500000001,1.2625160462130933,训练集
2020-02-06,18.91,19.68,18.89,19.65,30113181.0,57.73,3.11,0.5,18.864,18.48,0.764717032809731,0.8025071762602509,-0.0755802869010398,64.2483820952431,0,0,0,0,0.0,0.0,0.0,-0.0,-0.0010167768174886849,0.9990002500000001,1.2612323491655963,训练集
2020-02-07,19.65,19.65,18.33,18.73,32128159.0,57.73,3.11,0.5,18.74,18.6575,0.6986999108755363,0.781745723183308,-0.1660916246155435,54.86454734282959,0,0,0,0,0.0,0.0,0.0,-0.0,-0.04681933842239172,0.9990002500000001,1.2021822849807442,训练集
2020-02-10,19.15,20.5,19.04,19.71,35279646.0,57.73,3.11,0.5,19.198,18.8085,0.717191340575237,0.7688348466616939,-0.1032870121729137,61.341696250236176,0,0,0,0,0.0,0.0,0.0,0.0,0.052322477309129756,0.9990002500000001,1.2650834403080868,训练集
2020-02-11,19.41,19.45,18.85,19.1,19617574.0,57.73,3.11,0.5,19.372,18.899,0.674844838595515,0.7500368450484582,-0.1503840129058864,55.95872192204241,0,0,0,0,0.0,0.0,0.0,-0.0,-0.03094875697615418,0.9990002500000001,1.2259306803594348,训练集
2020-02-12,19.1,19.6,18.88,19.15,19745556.0,57.73,3.11,0.5,19.268,18.9945,0.6379654442969205,0.7276225648981508,-0.1793142412024606,56.29725421604962,0,0,0,0,0.0,0.0,0.0,0.0,0.002617801047120283,0.9990002500000001,1.2291399229781765,训练集
2020-02-13,18.92,19.45,18.6,18.62,23694703.0,57.73,3.11,0.5,19.062,19.0505,0.5595218682020437,0.6940024255589294,-0.2689611147137714,51.75584975199988,0,0,0,0,0.0,0.0,0.0,-0.0,-0.027676240208877156,0.9990002500000001,1.1951219512195117,训练集
2020-02-14,18.62,18.73,18.26,18.41,21117383.0,57.73,3.11,0.5,18.998,19.0335,0.4749347716239889,0.6501888947719413,-0.3505082462959048,50.03361265561573,0,1,0,1,0.0,0.0,0.0,-0.0,-0.011278195488721887,0.9990002500000001,1.1816431322207952,训练集
2020-02-17,18.41,18.94,18.41,18.92,20988900.0,57.73,3.11,0.5,18.84,19.029000000000003,0.4439342284745251,0.608937961512458,-0.3300074660758658,54.03403159793811,0,0,0,0,0.0,0.0,0.0,0.0,0.027702335687126656,0.9990002500000001,1.2143774069319635,训练集
2020-02-18,18.7,19.41,18.69,19.24,22836532.0,57.73,3.11,0.5,18.868,19.073500000000003,0.4401140396426157,0.5751731771384896,-0.2701182749917477,56.393134478115385,0,0,0,0,0.0,0.0,0.0,0.0,0.01691331923890038,0.9990002500000001,1.2349165596919118,训练集
2020-02-19,20.85,20.86,19.95,20.03,43747653.0,57.73,3.11,0.5,19.044,19.1165,0.4951254126131417,0.55916362423342,-0.1280764232405566,61.62886099936694,0,0,0,0,0.0,0.0,0.0,0.0,0.0410602910602913,0.9990002500000001,1.2856225930680354,训练集
2020-02-20,20.43,22.03,20.41,22.03,64939094.0,57.73,3.11,0.5,19.726,19.2505,0.692127195850869,0.5857563385569098,0.2127417145879184,71.09187684523823,1,0,1,0,0.0,0.0,0.0,0.0,0.09985022466300553,0.9990002500000001,1.4139922978177144,训练集
2020-02-21,21.67,22.08,21.25,21.83,45518916.0,57.73,3.11,0.5,20.41,19.3745,0.822631416953346,0.633131354236197,0.3790001254342978,69.25260602594861,0,0,0,0,1.0,1.0,0.010915,-0.0004954607353608715,-0.00907852927825703,0.9985052846015094,1.4011553273427464,训练集
2020-02-24,21.16,21.72,21.01,21.41,35796879.0,63.88,3.44,0.5,20.908,19.4775,0.8819993233219208,0.6829049480533418,0.3981887505371579,65.42461546992737,0,0,0,0,1.0,0.0,0.0,-0.019239578561612403,-0.019239578561612403,0.9792944637342336,1.3741976893453138,训练集
